"";"State";"Code";"year";"Region";"Mean";"Population"
"172";"Louisiana";"LA";"2019";"South";171,293565111346;4533372
"173";"Maine";"ME";"2019";"Northeast";192,095178999449;1328361
"174";"Maryland";"MD";"2019";"South";198,164195422035;5773552
"175";"Massachusetts";"MA";"2019";"Northeast";185,126818192611;6547629
"176";"Michigan";"MI";"2019";"Midwest";129,291447498145;9883640
"177";"Minnesota";"MN";"2019";"Midwest";165,536870563424;5303925
"178";"Mississippi";"MS";"2019";"South";145,399411349814;2967297
"179";"Missouri";"MO";"2019";"Midwest";157,83774324342;5988927
"180";"Montana";"MT";"2019";"West";218,506914509206;989415
"181";"Nebraska";"NE";"2019";"Midwest";164,70698571155;1826341
"182";"Nevada";"NV";"2019";"West";206,372446836374;2700551
"183";"New Hampshire";"NH";"2019";"Northeast";176,12351830659;1316470
"184";"New Jersey";"NJ";"2019";"Northeast";175,262174840948;8791894
"185";"New Mexico";"NM";"2019";"West";167,851770642873;2059179
"186";"New York";"NY";"2019";"Northeast";192,197631389644;19378102
"187";"North Carolina";"NC";"2019";"South";166,544524347577;9535483
"188";"North Dakota";"ND";"2019";"Midwest";225,532292686849;672591
"189";"Ohio";"OH";"2019";"Midwest";134,881918219237;11536504
"190";"Oklahoma";"OK";"2019";"South";166,584307326832;3751351
"191";"Oregon";"OR";"2019";"West";231,571412726998;3831074
"192";"Pennsylvania";"PA";"2019";"Northeast";181,717296848245;12702379
"193";"Rhode Island";"RI";"2019";"Northeast";192,822985481375;1052567
"194";"South Carolina";"SC";"2019";"South";166,424452689226;4625364
"195";"South Dakota";"SD";"2019";"Midwest";186,675153990885;814180
"196";"Tennessee";"TN";"2019";"South";182,69396962973;6346105
"197";"Texas";"TX";"2019";"South";206,4099016695;25145561
"198";"Utah";"UT";"2019";"West";216,421710848128;2763885
"199";"Vermont";"VT";"2019";"Northeast";187,394692690441;625741
"200";"Virginia";"VA";"2019";"South";201,75411914127;8001024
"201";"Washington";"WA";"2019";"West";243,348257157322;6724540
"202";"West Virginia";"WV";"2019";"South";153,500350045612;1852994
"203";"Wisconsin";"WI";"2019";"Midwest";156,708182396104;5686986
"204";"Wyoming";"WY";"2019";"West";207,397430063624;563626
